FirstName,LastName,username,password,OU
Mattias,Markberg,matmar,Linux4Ever,OU=LAB,DC=local,DC=com"
Michel,Raheem,micrah,Linux4Ever,OU=LAB,DC=local,DC=com"
Julianne,Oswaldo,julosw,Linux4Ever,OU=LAB,DC=local,DC=com"
Dave,Lawrence,davlaw,Linux4Ever,OU=LAB,DC=local,DC=com"
Juliet,David,juldav,Linux4Ever,OU=LAB,DC=local,DC=com"
Paige,Francesco,paifra,Linux4Ever,OU=LAB,DC=local,DC=com"
Bella,Clemmie,belcle,Linux4Ever,OU=LAB,DC=local,DC=com"
August,Dayne,augday,Linux4Ever,OU=LAB,DC=local,DC=com"
Ewell,Tate,ewetat,Linux4Ever,OU=LAB,DC=local,DC=com"
Aubrey,Luna,aublun,Linux4Ever,OU=LAB,DC=local,DC=com"
Jefferey,Leland,jeflel,Linux4Ever,OU=LAB,DC=local,DC=com"
Libbie,Armand,libarm,Linux4Ever,OU=LAB,DC=local,DC=com"
Cletus,Abelardo,cleabe,Linux4Ever,OU=LAB,DC=local,DC=com"
Gregoria,Mariana,gremar,Linux4Ever,OU=LAB,DC=local,DC=com"
Caleigh,Audie,calaud,Linux4Ever,OU=LAB,DC=local,DC=com"
Diamond,Nils,dianil,Linux4Ever,OU=LAB,DC=local,DC=com"
Wilhelmine,Gus,wihgus,Linux4Ever,OU=LAB,DC=local,DC=com"
Ramon,Aisha,ramais,Linux4Ever,OU=LAB,DC=local,DC=com"
Fredy,Elliott,freell,Linux4Ever,OU=LAB,DC=local,DC=com"
Cali,Russel,calrus,Linux4Ever,OU=LAB,DC=local,DC=com"
Jaren,Joan,jarjoa,Linux4Ever,OU=LAB,DC=local,DC=com"
Madalyn,Humberto,madhum,Linux4Ever,OU=LAB,DC=local,DC=com"
